mode,query_type,n_queries,avg_papers_attempted,avg_full_text_success,avg_fallback_used,avg_pdf_used,avg_html_used,avg_abstract_fallback_used,avg_metadata_fallback_used,mean_full_text_fraction,mean_fallback_fraction
direct,broad_diagnostic,5,8.0,2.4,5.6,2.0,0.0,3.2,2.0,0.3,0.7
direct,method_selection,5,8.0,2.2,5.8,2.2,0.0,5.2,0.2,0.275,0.725
direct,specific,5,8.0,2.6,5.4,2.2,0.0,3.2,1.8,0.325,0.675
reranking_papers,broad_diagnostic,5,10.0,1.4,8.6,1.2,0.0,7.6,0.2,0.13999999999999999,0.86
reranking_papers,method_selection,5,10.0,2.0,8.0,1.8,0.0,7.0,0.0,0.2,0.8
reranking_papers,specific,5,10.0,3.0,7.0,2.0,0.0,6.2,0.8,0.3,0.7
