run_name,query_type,n_queries,avg_returned_equipment,mean_ndcg_at_3,std_ndcg_at_3,hit_rate_at_1,hit_rate_at_3,must_have_recall_at_3,relevant_recall_at_3,clearly_not_suitable_rate_at_3,mean_fallback_fraction
decomposition_rerank_10papers_2workers,broad_diagnostic,5,8.4,0.4687953193733792,0.3610270887377282,0.6,0.8,0.19666666666666668,0.13444444444444445,0.0,0.635
direct_rerank_10papers,broad_diagnostic,5,2.2,0.4122885095908974,0.3883651002123738,0.4,0.6,0.19666666666666668,0.11388888888888889,0.0,0.86
direct_no_rerank_12papers,broad_diagnostic,5,2.4,0.340783617806827,0.3227696154347131,0.4,0.6,0.15666666666666668,0.09444444444444444,0.0,0.7636363636363637
decomposition_no_rerank_12papers_2workers,broad_diagnostic,5,8.8,0.3072637088052015,0.4104908723675852,0.2,0.6,0.15666666666666668,0.06722222222222222,0.0,0.7502032349395902
direct_no_rerank_12papers,method_selection,5,2.8,0.602874955379881,0.41834829038057264,0.8,0.8,0.36666666666666664,0.1569047619047619,0.0,0.85
decomposition_rerank_10papers_2workers,method_selection,5,5.4,0.35419158140747714,0.3175916818593385,0.6,0.6,0.2,0.07357142857142858,0.0,0.8539999999999999
direct_rerank_10papers,method_selection,5,2.2,0.30231522837500463,0.258324747603542,0.4,0.6,0.2,0.07357142857142858,0.0,0.8
decomposition_no_rerank_12papers_2workers,method_selection,5,7.2,0.20111945400975278,0.2463200198355213,0.4,0.4,0.13333333333333333,0.04857142857142857,0.0,0.8463109354413701
decomposition_no_rerank_12papers_2workers,specific,5,2.8,0.5719509132260371,0.35044044681325875,0.8,0.8,0.14583333333333331,0.3288888888888889,0.0,0.7492753623188406
direct_no_rerank_12papers,specific,5,2.2,0.5202241010232075,0.05380184206241469,0.8,1.0,0.19583333333333333,0.4022222222222222,0.0,0.7818181818181819
direct_rerank_10papers,specific,5,1.8,0.502010183077513,0.3942650856225544,0.6,0.6,0.14583333333333331,0.1688888888888889,0.0,0.7
decomposition_rerank_10papers_2workers,specific,5,3.2,0.402874955379881,0.42006281643855176,0.6,0.6,0.14583333333333331,0.1688888888888889,0.0,0.6199999999999999
