fallback_bucket,n_queries,mean_ndcg_at_3,median_ndcg_at_3,std_ndcg_at_3,hit_rate_at_3,must_have_recall_at_3,mean_fallback_fraction,query_fraction,query_percentage
0–25%,5,0.6592163821931731,0.7653606369886218,0.38226284190188053,0.8,0.36666666666666664,0.15999999999999998,0.008912655971479501,0.8912655971479502
25–50%,89,0.45274761219749354,0.4692787260227565,0.28663645763425327,0.8089887640449438,0.27456709956709957,0.43370786516853904,0.1586452762923351,15.86452762923351
50–75%,177,0.42344724553817475,0.4692787260227565,0.2707500338583773,0.7966101694915254,0.23752354048964217,0.6604519774011302,0.3155080213903743,31.550802139037433
75–100%,290,0.39181162193571195,0.4692787260227565,0.2628826958463694,0.7551724137931034,0.20471521942110177,0.8741379310344863,0.5169340463458111,51.69340463458111
