fallback_bucket,n_queries,mean_ndcg_at_3,median_ndcg_at_3,std_ndcg_at_3,hit_rate_at_3,must_have_recall_at_3,mean_fallback_fraction,query_fraction,query_percentage
0–10%,2,0.3826803184943109,0.3826803184943109,0.54119169646791,0.5,0.25,0.1,0.0035650623885918,0.35650623885918004
10–20%,3,0.8435737579924144,0.7653606369886218,0.1354690993971015,1.0,0.4444444444444444,0.20000000000000004,0.0053475935828877,0.53475935828877
20–30%,17,0.4839228688827462,0.4692787260227565,0.2998648748692605,0.8235294117647058,0.29215686274509806,0.29999999999999993,0.030303030303030304,3.0303030303030303
30–40%,25,0.45842779662548927,0.4692787260227565,0.2593918489459847,0.84,0.3151428571428571,0.40000000000000013,0.044563279857397504,4.45632798573975
40–50%,47,0.43845008082836184,0.4692787260227565,0.3003498528622975,0.7872340425531915,0.2460144927536232,0.5,0.08377896613190731,8.377896613190732
50–60%,70,0.40469231657639,0.4692787260227565,0.2833293066312824,0.7857142857142857,0.2139285714285714,0.6000000000000009,0.12477718360071301,12.4777183600713
60–70%,107,0.4357168252328003,0.4692787260227565,0.2628228945110018,0.8037383177570093,0.2529595015576324,0.7000000000000014,0.19073083778966132,19.073083778966133
70–80%,127,0.41476800155266014,0.4692787260227565,0.23213464482891877,0.8267716535433071,0.21421072365954258,0.7999999999999982,0.22638146167557932,22.63814616755793
80–90%,111,0.38858390276780336,0.4692787260227565,0.2636096539288954,0.7657657657657657,0.20744588744588746,0.9000000000000014,0.19786096256684493,19.786096256684495
90–100%,52,0.34263501840273985,0.4692787260227565,0.32372134776303463,0.5576923076923077,0.17574786324786326,1.0,0.09269162210338681,9.269162210338681
