mode,query_type,n_queries,avg_returned_equipment,strict_top1_accuracy,relaxed_top1_accuracy,strict_top3_accuracy,relaxed_top3_accuracy,strict_found_anywhere,relaxed_found_anywhere,mean_ndcg_at_3,mean_ndcg_at_5
decomposition,broad_diagnostic,5,2.6,0.6,0.6,0.6,0.8,0.6,0.8,0.40782343581007796,0.32813188539992466
decomposition,method_selection,5,2.6,0.2,0.2,0.4,0.4,0.4,0.4,0.16648009099837452,0.12406830208122752
decomposition,specific,5,2.2,0.6,0.6,0.6,0.6,0.6,0.6,0.41235111203970726,0.3871201114748949
direct,broad_diagnostic,5,2.4,0.6,0.6,0.8,0.8,0.8,0.8,0.45538735577272893,0.32912054286347164
direct,method_selection,5,1.4,0.4,0.4,0.4,0.4,0.4,0.4,0.21628291898053117,0.15631341275644509
direct,specific,5,1.4,0.2,0.4,0.2,0.4,0.2,0.4,0.2725106402309135,0.24276926405968138
