mode,query_type,n_queries,avg_papers_attempted,avg_full_text_success,avg_fallback_used,avg_pdf_used,avg_html_used,avg_abstract_fallback_used,avg_metadata_fallback_used,mean_full_text_fraction,mean_fallback_fraction
decomposition,broad_diagnostic,5,22.4,4.6,17.8,3.6,0.0,13.2,2.4,0.2375,0.7625
decomposition,method_selection,5,12.8,3.2,9.6,2.4,0.0,7.8,0.8,0.19375,0.80625
decomposition,specific,5,9.6,3.0,6.6,2.2,0.0,4.4,1.6,0.3625,0.6375
direct,broad_diagnostic,5,8.0,2.4,5.6,2.0,0.0,3.2,2.0,0.3,0.7
direct,method_selection,5,8.0,2.2,5.8,2.2,0.0,5.2,0.2,0.275,0.725
direct,specific,5,8.0,2.6,5.4,2.2,0.0,3.2,1.8,0.325,0.675
